indexvalue,id,beername,stylevalue,ounces,abv,ibu,breweryid,breweryname,city,statevalue,Label
467,29,Very Noddy Lager (Current),Schwarzbier,16.0,0.099,20.0,530,Buckbean Brewing Company,Reno,NV,0
468,28,Tule Duck Red Ale (Current),American Amber / Red Ale,16.0,0.062,42.0,530,Buckbean Brewing Company,Reno,NV,0
469,27,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,16.0,0.058,35.0,530,Buckbean Brewing Company,Reno,NV,0
470,26,Black Noddy Lager (Current),Schwarzbier,16.0,0.052,40.0,530,Buckbean Brewing Company,Reno,NV,0
471,1627,Cleveland Beer Week 2013,Munich Helles Lager,16.0,0.053,20.0,357,Buckeye Brewing,Cleveland,OH,0
472,2552,Painted Turtle,American Pale Ale (APA),12.0,0.045,20.0,56,BuckleDown Brewing,Lyons,IL,0
473,2125,1836,American Blonde Ale,12.0,0.06,40.0,214,Buffalo Bayou Brewing Company,Houston,,1
474,2124,Summers Wit,Witbier,12.0,0.06,20.0,214,Buffalo Bayou Brewing Company,Houston,TX,0
47,2123,More Cowbell,American Double / Imperial IPA,16.0,0.09,118.0,214,Buffalo Bayou Brewing Company,Houston,TX,1
476,2608,Wrath of Pele,American Brown Ale,16.0,0.065,20.0,24,Burn Em Brewing,Michigan City,IN,0
477,2607,Black Beerd,American Black Ale,16.0,0.068,20.0,24,Burn Em Brewing,Michigan City,IN,0
478,2606,Mr. Tea,Fruit / Vegetable Beer,24.0,0.078,20.0,24,Burn Em Brewing,Michigan City,IN,0
479,2478,Pale Alement,American Pale Ale (APA),12.0,0.055,40.0,24,Burn Em Brewing,Michigan City,IN,0
480,2471,Hopkick Dropkick,American Double / Imperial IPA,12.0,115.0,0.099,24,Burn Em Brewing,Michigan City,IN,1
481,2470,Kreamed Corn,Cream Ale,12.0,20.0,0.06,,Burn Em Brewing,Michigan City,IN,1
482,2464,Coconoats,American Pale Wheat Ale,16.0,0.065,20.0,24,Burn Em Brewing,Michigan City,IN,0
483,2160,Joey Wheat,American Pale Wheat Ale,16.0,0.068,16.0,24,Burn Em Brewing,Michigan City,IN,0
484,2158,3:33 Black IPA,American IPA,16.0,0.072,86.0,24,Burn Em Brewing,Michigan City,IN,0
485,2072,MCA,American IPA,16.0,0.068,20.0,24,Burn Em Brewing,Michigan City,IN,0
486,2054,Pale Alement,American Pale Ale (APA),16.0,0.055,40.0,24,Burn Em Brewing,Michigan City,IN,0
487,2196,Couch Select Lager,American Pale Lager,12.0,0.05,14.0,197,Burnside Brewing Co.,Portland,OR,0
488,668,Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),16.0,0.056,36.0,517,Butchers Brewing,Carlsbad,CA,1
489,52,Heinnieweisse Weissebier,Hefeweizen,12.0,0.049,20.0,556,Butternuts Beer and Ale,Garrattsville,NY,0
490,51,Snapperhead IPA,American IPA,12.0,0.068,20.0,556,Butternuts Beer and Ale,Garrattsville,NY,0
491,50,Moo Thunder Stout,Milk / Sweet Stout,12.0,0.049,20.0,556,Butternuts Beer and Ale,Garrattsville,NY,0
492,49,Porkslap Pale Ale,American Pale Ale (APA),12.0,0.043,20.0,556,Butternuts Beer and Ale,Garrattsville,NY,0
493,2657,Blackbeard,American Double / Imperial Stout,12.0,0.093,20.0,5,COAST Brewing Company,Charleston,SC,0
494,2656,Rye Knot,American Brown Ale,12.0,0.062,20.0,5,COAST Brewing Company,Charleston,SC,0
495,2655,Dead Arm,American Pale Ale (APA),12.0,0.06,20.0,5,COAST Brewing Company,Charleston,SC,0
496,2654,32°/50° Kölsch,Kölsch,16.0,0.048,20.0,5,COAST Brewing Company,Charleston,SC,0
497,2653,HopArt,American IPA,16.0,0.077,70.0,5,COAST Brewing Company,Charleston,SC,1
498,2652,Boy King,American Double / Imperial IPA,16.0,0.097,20.0,5,COAST Brewing Company,Charleston,SC,0
499,2252,Gran Sport,American Porter,16.0,0.052,20.0,812,COOP Ale Works,Oklahoma City,OK,1
500,2214,Horny Toad Cerveza,American Blonde Ale,16.0,0.053,25.0,182,COOP Ale Works,Oklahoma City,OK,0
